ts,"t1p_belastningil3 | powerlab/bornholm/nm/sec/ost/t1p_belastningil3 | 516132","t1s_reaktiveffekt | powerlab/bornholm/nm/sec/ost/t1s_reaktiveffekt | 516139","t1s_cosphi | powerlab/bornholm/nm/sec/ost/t1s_cosphi | 516136","t1s_frekvens | powerlab/bornholm/nm/sec/ost/t1s_frekvens | 516138","t1s_sptrinvisning | powerlab/bornholm/nm/sec/ost/t1s_sptrinvisning | 516143","t1s_cosphitrf1 | powerlab/bornholm/nm/sec/ost/t1s_cosphitrf1 | 516137","t1s_belastning | powerlab/bornholm/nm/sec/ost/t1s_belastning | 516135","t1s_spendingvl3 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl3 | 516142","t1s_10kvskinnespend | powerlab/bornholm/nm/sec/ost/t1s_10kvskinnespend | 516133","t1s_spendingvl2 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl2 | 516141","t1s_aktiveffekt | powerlab/bornholm/nm/sec/ost/t1s_aktiveffekt | 516134","t1s_spendingvl1 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl1 | 516140","t1p_belastningil2 | powerlab/bornholm/nm/sec/ost/t1p_belastningil2 | 516131","t1p_belastningil1 | powerlab/bornholm/nm/sec/ost/t1p_belastningil1 | 516130"
"2024-03-11 08:34:35",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:34:45",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:34:50",,,-28.7484340667725,,,,,,,,,,,
"2024-03-11 08:34:53",,,,,,0.876739919185638,,,,,,,,
"2024-03-11 08:34:55",,,,,,0.876739919185638,,,,,,,,
"2024-03-11 08:34:59",16.4653453826904,,,,,,,,,,1.74538803100586,,,
"2024-03-11 08:35:00",16.4653453826904,,,,,,,,,,1.74538803100586,,,
"2024-03-11 08:35:05",,,,,,0.876739919185638,,,,,,,,
"2024-03-11 08:35:13",15.6450090408325,,,,,,,,,,1.64389801025391,,,
"2024-03-11 08:35:15",15.6450090408325,,,,,0.876739919185638,,,,,1.64389801025391,,,
"2024-03-11 08:35:25",,,,,,0.876739919185638,,,,,,,,
"2024-03-11 08:35:26",,,-29.8031539916992,,,,,,,,,,,
"2024-03-11 08:35:30",,,-29.8031539916992,,,,,,,,,,,
"2024-03-11 08:35:32",,,,,,0.86773806810379,,,,,,,,
"2024-03-11 08:35:35",,,,,,0.86773806810379,,,,,,,,
"2024-03-11 08:35:45",,-0.57672119140625,,,,0.86773806810379,,,,,,,,
"2024-03-11 08:35:55",,,,,,0.86773806810379,,,,,,,,
